spanish,english,domain,collocations
el viento racheado,gusty wind,environment,precaución ante el viento racheado; daños por viento racheado; soportar viento racheado; avisar de viento racheado
la alerta de inundación,flood warning,safety,activar la alerta de inundación; seguir la alerta de inundación; emitir la alerta de inundación; cancelar la alerta de inundación
el daño irreversible,irreversible damage,environment,causar el daño irreversible; evitar el daño irreversible; reparar el daño irreversible; constatar el daño irreversible
la eximente de responsabilidad,exculpation,legal,alegar la eximente de responsabilidad; aceptar la eximente de responsabilidad; invocar la eximente de responsabilidad; probar la eximente de responsabilidad
el siniestro laboral,work accident,safety,notificar el siniestro laboral; investigar el siniestro laboral; sufrir un siniestro laboral; declarar el siniestro laboral
la erosión del suelo,soil erosion,environment,combatir la erosión del suelo; avanzada erosión del suelo; prevenir la erosión del suelo; frenar la erosión del suelo
la tormenta de arena,sandstorm,environment,afectado por la tormenta de arena; alerta de tormenta de arena; sufrir una tormenta de arena; visibilidad en la tormenta de arena
la negligencia médica,medical malpractice,legal,demanda por negligencia médica; probar la negligencia médica; incurrir en negligencia médica; denunciar la negligencia médica
el valor venal,market value,safety,calcular el valor venal; peritaje del valor venal; determinar el valor venal; ajustar el valor venal
la contaminación de acuíferos,aquifer contamination,environment,detectar la contaminación de acuíferos; evitar la contaminación de acuíferos; combatir la contaminación de acuíferos; niveles de contaminación de acuíferos
el riesgo de incendio,fire hazard,environment,prevenir el riesgo de incendio; alto riesgo de incendio; reducir el riesgo de incendio; advertir el riesgo de incendio
la cobertura total,full coverage,safety,contratar la cobertura total; ofrecer la cobertura total; ampliar la cobertura total; incluir la cobertura total
la descarga eléctrica,electric discharge,safety,sufrir una descarga eléctrica; peligro de descarga eléctrica; evitar la descarga eléctrica; causar una descarga eléctrica
la negligencia administrativa,administrative negligence,legal,sanción por negligencia administrativa; reclamar por negligencia administrativa; denunciar la negligencia administrativa; incurrir en negligencia administrativa
la escasez de agua,water scarcity,environment,gestionar la escasez de agua; sufrir la escasez de agua; combatir la escasez de agua; crisis por escasez de agua
la tempestad,tempest,environment,sufrir la tempestad; daños por la tempestad; desatarse la tempestad; prepararse para la tempestad
la indemnización por fallecimiento,death benefit,safety,solicitar la indemnización por fallecimiento; cobrar la indemnización por fallecimiento; pago de la indemnización por fallecimiento; tramitar la indemnización por fallecimiento
el delito de lesiones,assault/injury crime,legal,imputado por delito de lesiones; pena por delito de lesiones; cometer un delito de lesiones; acusado de delito de lesiones
la degradación del entorno,environmental degradation,environment,frenar la degradación del entorno; proceso de degradación del entorno; evitar la degradación del entorno; causar la degradación del entorno
la alerta de tsunami,tsunami warning,safety,difundir la alerta de tsunami; emitir la alerta de tsunami; evacuación por alerta de tsunami; activar la alerta de tsunami
el perito de seguros,insurance adjuster,safety,informe del perito de seguros; visita del perito de seguros; llamar al perito de seguros; dictamen del perito de seguros
la tormenta de nieve,snowstorm,environment,quedar atrapado por la tormenta de nieve; alerta de tormenta de nieve; sobrevivir a la tormenta de nieve; prepararse para la tormenta de nieve
la negligencia grave,gross negligence,legal,sentencia por negligencia grave; acusado de negligencia grave; declarar negligencia grave; probar la negligencia grave
la carga contaminante total,total pollutant load,environment,reducir la carga contaminante total; exceso de carga contaminante total; medir la carga contaminante total; limitar la carga contaminante total
el riesgo de colapso,collapse risk,safety,advertir el riesgo de colapso; zona de riesgo de colapso; evitar el riesgo de colapso; evaluar el riesgo de colapso
la prima de seguro,insurance premium,safety,pagar la prima de seguro; aumento de la prima de seguro; calcular la prima de seguro; reducir la prima de seguro
el aliño,dressing,food,preparar un aliño; un aliño ligero; añadir el aliño; un aliño cítrico
la sartén,pan,food,una sartén antiadherente; calentar la sartén; una sartén profunda; el fondo de la sartén
el escabeche,marinade/pickle,food,preparar un escabeche; dejar en escabeche; un escabeche suave; el sabor del escabeche
el emplatado,plating,food,cuidar el emplatado; un emplatado elegante; el estilo de emplatado; la técnica de emplatado
el colador,colander/strainer,food,usar el colador; un colador fino; pasar por el colador; limpiar el colador
la espumadera,skimmer,food,retirar con la espumadera; una espumadera metálica; usar la espumadera; la malla de la espumadera
el rallador,grater,food,un rallador de acero; pasar por el rallador; el filo del rallador; un rallador manual
el mortero,mortar,food,machacar en el mortero; un mortero de piedra; limpiar el mortero; el uso del mortero
la cacerola,casserole/pot,food,una cacerola grande; el fondo de la cacerola; tapar la cacerola; una cacerola de barro
el batidor,whisk,food,usar el batidor; un batidor manual; el mango del batidor; un batidor de varillas
el pelador,peeler,food,un pelador ergonómico; el filo del pelador; usar el pelador; un pelador de vegetales
la báscula,kitchen scale,food,pesar en la báscula; una báscula digital; la precisión de la báscula; calibrar la báscula
el envase,container/packaging,food,abrir el envase; un envase hermético; el material del envase; desechar el envase
el etiquetado,labeling,food,leer el etiquetado; un etiquetado claro; cumplir el etiquetado; el contenido del etiquetado
el alérgeno,allergen,food,detectar un alérgeno; libre de alérgenos; la presencia de alérgenos; informar sobre alérgenos
la intolerancia,intolerance,food,una intolerancia alimentaria; sufrir una intolerancia; el diagnóstico de intolerancia; gestionar la intolerancia
el conservante,preservative,food,sin conservantes artificiales; añadir conservantes; el uso de conservantes; evitar los conservantes
el aditivo,additive,food,un aditivo alimentario; la dosis del aditivo; el efecto del aditivo; evitar los aditivos
la denominación de origen,designation of origin,food,con denominación de origen; certificar la denominación de origen; el sello de denominación de origen; la calidad de la denominación de origen
el producto gourmet,gourmet product,food,comprar productos gourmet; una selección de productos gourmet; la gama de productos gourmet; el precio del producto gourmet
la cata,tasting,food,organizar una cata; participar en una cata; la cata de vinos; una cata a ciegas
la fermentación,fermentation,food,el proceso de fermentación; la duración de la fermentación; favorecer la fermentación; una fermentación natural
el horneado,baking,food,el tiempo de horneado; un horneado perfecto; controlar el horneado; el resultado del horneado
el adobo,marinade/rub,food,preparar el adobo; dejar macerar en el adobo; el sabor del adobo; un adobo especiado
el rehogado,sautéing,food,un rehogado suave; el tiempo de rehogado; el punto de rehogado; un rehogado homogéneo
el escaldado,blanching,food,hacer un escaldado; el proceso de escaldado; tras el escaldado; un escaldado rápido
